Am.ID,Am.vardiem.LV,Am.vardiem.EN!
5000,Direktore,Director!
4995,Direktors,Director!
4992,Direktora vietniece administratīvajā jomā,Deputy Director for Administration !
4990,Direktora vietnieks inovācijā,Deputy Director for Innovation!
4985,Direktora vietnieks mācību darbā,Deputy Director for Education!
4980,Direktora vietnieks zinātniskajā darbā,Deputy Director for Science!
4975,Zinātniskā sekretāre,Scientific Secretary!
4972,Administratīvā asistente,Administrative assistant!
4970,Direktora palīgs,Assistant to the Director!
4965,Zinātniskās padomes priekšsēdētājs,Sientific Council Chairperson!
4960,Biroja administratore,Office Administrator!
4957,Laboratorijas vadītāja,Head of the laboratory!
4956,Laboratorijas vadītājs,Head of the laboratory!
4955,Daļas vadītāja,Head of Group!
4950,Daļas vadītājs,Head of Group!
4945,Grupas vadītāja,Head of Group!
4940,Grupas vadītājs,Head of Group!
4935,Struktūrvienības vadītāja,Head of Unit!
4930,Struktūrvienības vadītājs,Head of Unit!
4925,Projektu vadības daļas vadītāja,Head of Project Management Department!
4920,Projektu vadības daļas vadītājs,Head of Project Management Department!
4915,Inženiermehānikas daļas vadītāja,Head of Engineering Mechanics Department!
4910,Inženiermehānikas daļas vadītājs,Head of Engineering Mechanics Department!
4905,Personāldaļas vadītāja,Head of Human Resources!
4900,Personāldaļas vadītājs,Head of Human Resources!
4895,Vecākais eksperts,Senior Expert!
4890,Vecākā eksperte,Senior Expert!
4887,Metodiķe,Methodist!
4885,Attīstības projekta vadītājs,Development Project Manager!
4880,Attīstības projekta vadītājs,Development Project Manager!
4875,Projekta vadītāja vietniece,Deputy Project Manager!
4870,Projekta vadītāja vietnieks,Deputy Project Manager!
4865,Pārdošanas vadītāja,Sales Manager!
4860,Pārdošanas vadītājs,Sales Manager!
4857,Starptautisko projektu piesaistes speciālists ,International projects acquisition specialist!
4856,Pārdošanas speciālists,Sales Specialist!
4855,Saimniecības daļas vadītāja,Supply Department!
4850,Saimniecības daļas vadītājs,Supply Department!
4847,Izaugsmes veicinātāja,Coach!
4845,Ēkas dežurante,Building Duty Officer!
4840,Ēkas dežurants,Building Duty Officer!
4835,Sētniece,Janitor!
4830,Sētnieks,Janitor!
4825,Apkopēja,Janitor!
4820,Apkopējs,Janitor!
4815,Palīgstrādniece,Auxiliary Worker!
4810,Palīgstrādnieks,Auxiliary Worker!
4805,Metālapstrādes speciāliste,Metalworking Specialist!
4800,Metālapstrādes speciālists,Metalworking Specialist!
4795,Ēku ekspluatācijas un aprīkojuma nodrošinājuma inženiere,Building operation and equipment supply engineer!
4790,Ēku ekspluatācijas un aprīkojuma nodrošinājuma inženieris,Building operation and equipment supply engineer!
4785,Galvenais Inženieris,Chief Engineer!
4780,Galvenā Inženiere,Chief Engineer!
4775,Energosistēmu inženiere,Power systems engineer!
4770,Energosistēmu inženieris,Power systems engineer!
4765,Juriste,Lawyer!
4760,Jurists,Lawyer!
4755,Jurista palīdze,Legal Assistant!
4750,Jurista palīgs,Legal Assistant!
4745,Iepirkumu sekretāre,Procurement Secretary!
4740,Iepirkumu sekretārs,Procurement Secretary!
4735,Reklāmas komercdarbības pakalpojumu speciāliste,Advertising business services specialist!
4730,Reklāmas komercdarbības pakalpojumu speciālists,Advertising business services specialist!
4725,Projektu administratore,Project Administrator!
4720,Projektu administrators,Project Administrator!
4715,Galvenā grāmatvede,Chief Accountant!
4710,Galvenais grāmatvedis,Chief Accountant!
4705,Finanšu daļas vadītājs,Head of Finance!
4700,Finanšu daļas vadītāja,Head of Finance!
4698,Vecākā grāmatvede,Senior Accountant!
4697,Vecākais grāmatvedis,Senior Accountant!
4695,Materiālu uzskaites grāmatvede,Materials Accounting Accountant!
4690,Materiālu uzskaites grāmatvedis,Materials Accounting Accountant!
4687,Komercdarbības speciālists,Business Specialist!
4685,Komercdarbības konsultante,Business Consultant!
4680,Komercdarbības konsultants,Business Consultant!
4675,Reklāmas komercdarbības pakalpojumu speciāliste,Advertising Business Services Specialist!
4670,Reklāmas komercdarbības pakalpojumu speciālists,Advertising Business Services Specialist!
4665,Sociālo mediju speciāliste,Social Media Specialist!
4660,Sociālo mediju speciālists,Social Media Specialist!
4658,Sabiedrisko attiecību menedžere,Public relations manager!
4657,Sabiedrisko attiecību menedžeris,Public relations manager!
4655,Klientu risinājumu vadītāja,Customer Solutions Manager!
4650,Klientu risinājumu vadītājs,Customer Solutions Manager!
4645,Projekta vadītāja,Project manager!
4640,Projekta vadītājs,Project manager!
4635,Projektu vadītājs,Project manager!
4630,Projektu vadītāja,Project manager!
4615,Vadošais pētnieks,Leading researcher!
4610,Vadošā pētniece,Leading researcher!
4607,Skaitļošanas sistēmu projektētājs,Computer system designer!
4605,Vadošais radioelektronikas inženieris,Leading Radio Electronics Engineer!
4600,Vadošā programmēšanas inženiere,Leading Programming Engineer!
4595,Programmēšanas inženiere,Programming Engineer!
4590,Programmēšanas inženieris,Programming Engineer!
4585,Pētniece,Researcher!
4580,Pētnieks,Researcher!
4575,Viespētniece,Guest Researcher!
4570,Viespētnieks,Guest Researcher!
4565,Zinātniskā asistente,Research Assistant!
4560,Zinātniskais asistents,Research Assistant!
4555,IT inženieris,IT Engineer!
4550,Inženiere,Engineer!
4545,Inženieris,Engineer!
4540,Eksperte,Expert!
4535,Eksperts,Expert!
4530,Biofiziķe,Biophysicist!
4525,Biofiziķis,Biophysicist!
4520,Cietvielu fiziķe,Solid State physicist!
4515,Cietvielu fiziķis,Solid State physicis!
4510,Fiziķe,Physicist!
4505,Fiziķis,Physicist!
4503,Ķīmiķe,Chemist!
4502,Ķīmiķis,Chemist!
4500,Laborante,Laboratory Assistant!
4495,Laborants,Laboratory Assistant!
4490,Mājaslapas administrators,Website Administrator!
4485,Autovadītājs,Driver!
4480,Datorgrafikas eksperte,Computergraphics expert!
4475,Sargi. centrālais postenis,Guards. central position!
